net,length_um
clknet_leaf_179_clk,191.05
bgc_3.comp_row.x,191.01
bgc_2.final_counter._16_,189.99
clknet_leaf_167_clk,188.31
bgc_5.final_counter._16_,186.17
bgc_7.final_counter._16_,186.12
bgc_13.comp_row.x,185.46
clknet_leaf_144_clk,185.45
bgc_9.row_reg._043_,185.04
bgc_9.col_reg._043_,184.79
clknet_leaf_61_clk,184.64
res_mem_inst.slot\[10\].slot_reg._043_,184.36
bgc_9.col_reg._041_,183.72
res_mem_inst.slot\[3\].slot_reg._042_,183.72
bgc_0.comp_row.x,183.17
clknet_leaf_83_clk,182.81
timer_inst._16_,181.99
bgc_9.col_reg._042_,180.67
clknet_leaf_52_clk,178.89
res_mem_inst.slot\[4\].slot_reg._043_,178.73
res_mem_inst.slot\[10\].slot_reg.mode\[0\],177.62
clknet_leaf_23_clk,176.95
bgc_3.final_counter._09_,176.45
res_mem_inst._004_,175.48
res_mem_inst.slot\[14\].slot_reg._041_,175.48
clknet_leaf_136_clk,175.22
clknet_leaf_141_clk,175.07
bgc_6.final_counter._09_,174.87
clknet_leaf_180_clk,173.85
bgc_10.col_reg._043_,172.81
bgc_8.final_counter._16_,171.46
clknet_leaf_49_clk,171.05
bgc_14.row_reg._043_,170.49
bgc_5.col_reg._041_,168.96
bgc_9.lfsr_row.seed_mem\[8\],168.86
res_mem_inst.slot\[7\].slot_reg._042_,168.4
bgc_0.lfsr_row.seed_mem\[10\],168.3
bgc_12.col_reg._043_,167.94
bgc_11.row_reg._043_,167.23
clknet_leaf_41_clk,166.62
clknet_leaf_117_clk,166.31
clknet_leaf_161_clk,165.14
bgc_3.final_counter._16_,163.72
clknet_leaf_55_clk,163.41
clknet_leaf_72_clk,162.8
bgc_12.row_reg._043_,162.24
clknet_leaf_75_clk,162.19
clknet_leaf_62_clk,161.17
bgc_10.lfsr_row._25_,160.97
bgc_11.final_counter._09_,160.87
res_mem_inst.slot\[15\].slot_reg._041_,160.46
bgc_10.col_reg._042_,160.36
bgc_15.row_reg._041_,159.8
clknet_leaf_9_clk,159.8
res_mem_inst.slot\[12\].slot_reg._042_,159.75
bgc_12.comp_row.x,159.65
bgc_14.comp_col.x,159.65
clknet_leaf_98_clk,159.54
clknet_leaf_123_clk,159.34
bgc_9.lfsr_col.seed_mem\[4\],158.83
bgc_15.row_reg._043_,158.63
bgc_8.comp_row.x,157.97
clknet_leaf_28_clk,157.1
bgc_5.col_reg._043_,155.11
bgc_13.col_reg._043_,154.89
clknet_leaf_56_clk,154.3
bgc_14.final_counter._09_,154.2
mode_col_g1,153.87
bgc_12.row_reg._042_,153.84
res_mem_inst.slot\[15\].slot_reg._042_,153.69
adder_tree.r\[12\]\[9\],153.64
res_mem_inst.slot\[12\].slot_reg._043_,153.54
res_mem_inst._012_,152.93
res_mem_inst.slot\[4\].slot_reg._042_,152.9
bgc_7.col_reg._041_,152.16
bgc_14.row_reg._041_,152.11
bgc_0.lfsr_row.seed_mem\[2\],152.06
clknet_leaf_10_clk,151.45
bgc_12.row_reg._041_,151.39
clknet_leaf_147_clk,150.99
clknet_leaf_129_clk,150.53
clknet_leaf_84_clk,149.67
bgc_15.col_reg._042_,149.39
res_mem_inst.slot\[5\].slot_reg.mode\[1\],149.21
clknet_leaf_14_clk,149.21
bgc_7.final_counter._09_,149.11
clknet_3_6_0_clk,149.11
res_mem_inst.slot\[15\].slot_reg._043_,148.98
clknet_leaf_178_clk,148.95
bgc_6.comp_col.x,148.4
bgc_7.row_reg._043_,148.14
bgc_8.row_reg._043_,148.14
adder_tree.r\[10\]\[0\],147.58
bgc_8.row_reg._041_,147.53
net12,147.38
bgc_5.col_reg._042_,147.15
bgc_0.lfsr_col.seed_mem\[3\],147.07
bgc_10.col_reg._041_,147.02
bgc_9.lfsr_row.seed_mem\[3\],147.02
res_mem_inst.slot\[12\].slot_reg._041_,146.97
bgc_11.col_reg._041_,146.87
bgc_0.col_reg._041_,146.21
bgc_11.col_reg._042_,145.9
res_mem_inst.slot\[13\].slot_reg._043_,145.77
clknet_leaf_88_clk,145.34
bgc_7.lfsr_row.seed_mem\[3\],145.24
bgc_0.col_reg._042_,144.73
bgc_0.row_reg._043_,144.73
bgc_4.col_reg._041_,144.6
bgc_8.row_reg._042_,143.66
bgc_13.col_reg._041_,143.56
clknet_3_3_0_clk,143.51
bgc_12.final_counter._09_,142.95
clknet_leaf_8_clk,142.39
clknet_leaf_82_clk,142.03
clknet_leaf_26_clk,141.83
bgc_15.final_counter._16_,139.89
bgc_0.lfsr_col.seed_mem\[5\],139.79
bgc_5.final_counter._09_,139.59
bgc_5._00_,139.28
clknet_leaf_169_clk,139.13
clknet_leaf_162_clk,138.62
clknet_leaf_51_clk,138.57
bgc_15.lfsr_row.seed_mem\[4\],137.96
clknet_3_5_0_clk,137.86
clknet_leaf_21_clk,137.4
clknet_3_4_0_clk,136.23
clknet_3_7_0_clk,136.23
bgc_15.col_reg._041_,135.72
bgc_13.col_reg._042_,135.31
clknet_leaf_46_clk,135.26
res_mem_inst._049_,134.6
clknet_leaf_65_clk,134.14
adder_tree.r\[4\]\[6\],133.81
bgc_11.col_reg._043_,133.58
