Instance name,  X location,  Y location,  Voltage 
FILLER_0_66_1954, 1096.56, 262.64, -0.0324961
TAP_2089, 1096.56, 254.8, -0.0320274
FILLER_0_62_1947, 1096.56, 254.8, -0.0320274
FILLER_0_63_1951, 1096.56, 254.8, -0.0320274
FILLER_0_64_1951, 1096.56, 254.8, -0.0320274
FILLER_0_64_1954, 1096.56, 254.8, -0.0320274
TAP_2034, 1096.56, 246.96, -0.0311449
FILLER_0_60_1947, 1096.56, 246.96, -0.0311449
FILLER_0_61_1951, 1096.56, 246.96, -0.0311449
FILLER_0_62_1951, 1096.56, 246.96, -0.0311449
FILLER_0_62_1954, 1096.56, 246.96, -0.0311449
TAP_1979, 1096.56, 239.12, -0.0304231
FILLER_0_58_1947, 1096.56, 239.12, -0.0304231
FILLER_0_59_1951, 1096.56, 239.12, -0.0304231
FILLER_0_60_1951, 1096.56, 239.12, -0.0304231
FILLER_0_60_1954, 1096.56, 239.12, -0.0304231
TAP_1924, 1096.56, 231.28, -0.0297833
FILLER_0_56_1947, 1096.56, 231.28, -0.0297833
FILLER_0_57_1951, 1096.56, 231.28, -0.0297833
FILLER_0_58_1951, 1096.56, 231.28, -0.0297833
FILLER_0_58_1954, 1096.56, 231.28, -0.0297833
TAP_1869, 1096.56, 223.44, -0.0291734
FILLER_0_54_1947, 1096.56, 223.44, -0.0291734
FILLER_0_55_1951, 1096.56, 223.44, -0.0291734
FILLER_0_56_1951, 1096.56, 223.44, -0.0291734
FILLER_0_56_1954, 1096.56, 223.44, -0.0291734
TAP_1814, 1096.56, 215.6, -0.0277579
FILLER_0_52_1947, 1096.56, 215.6, -0.0277579
FILLER_0_53_1951, 1096.56, 215.6, -0.0277579
FILLER_0_54_1951, 1096.56, 215.6, -0.0277579
FILLER_0_54_1954, 1096.56, 215.6, -0.0277579
TAP_1759, 1096.56, 207.76, -0.0268232
FILLER_0_50_1947, 1096.56, 207.76, -0.0268232
FILLER_0_51_1951, 1096.56, 207.76, -0.0268232
FILLER_0_52_1951, 1096.56, 207.76, -0.0268232
FILLER_0_52_1954, 1096.56, 207.76, -0.0268232
TAP_1704, 1096.56, 199.92, -0.0261154
FILLER_0_48_1947, 1096.56, 199.92, -0.0261154
FILLER_0_49_1951, 1096.56, 199.92, -0.0261154
FILLER_0_50_1951, 1096.56, 199.92, -0.0261154
FILLER_0_50_1954, 1096.56, 199.92, -0.0261154
TAP_1649, 1096.56, 192.08, -0.0248722
FILLER_0_46_1947, 1096.56, 192.08, -0.0248722
FILLER_0_47_1951, 1096.56, 192.08, -0.0248722
FILLER_0_48_1951, 1096.56, 192.08, -0.0248722
FILLER_0_48_1954, 1096.56, 192.08, -0.0248722
TAP_1594, 1096.56, 184.24, -0.0237485
FILLER_0_44_1947, 1096.56, 184.24, -0.0237485
FILLER_0_45_1951, 1096.56, 184.24, -0.0237485
FILLER_0_46_1951, 1096.56, 184.24, -0.0237485
FILLER_0_46_1954, 1096.56, 184.24, -0.0237485
TAP_1539, 1096.56, 176.4, -0.0228143
FILLER_0_42_1947, 1096.56, 176.4, -0.0228143
FILLER_0_43_1951, 1096.56, 176.4, -0.0228143
FILLER_0_44_1951, 1096.56, 176.4, -0.0228143
FILLER_0_44_1954, 1096.56, 176.4, -0.0228143
TAP_1484, 1096.56, 168.56, -0.0236892
FILLER_0_40_1947, 1096.56, 168.56, -0.0236892
FILLER_0_41_1951, 1096.56, 168.56, -0.0236892
FILLER_0_42_1951, 1096.56, 168.56, -0.0236892
FILLER_0_42_1954, 1096.56, 168.56, -0.0236892
TAP_1429, 1096.56, 160.72, -0.0244233
FILLER_0_38_1947, 1096.56, 160.72, -0.0244233
FILLER_0_39_1951, 1096.56, 160.72, -0.0244233
FILLER_0_40_1951, 1096.56, 160.72, -0.0244233
