net,length_um
core.bgc_12.prev_step_output\[10\],120.55
core.bgc_8.comp_row.x,119.48
core.bgc_1.lfsr_row.seed_mem\[1\],119.38
core.res_mem_inst._012_,119.38
clknet_leaf_106_clk,118.97
core.bgc_11.prev_step_output\[0\],118.26
core.bgc_9.lfsr_col.seed_mem\[4\],117.29
core.res_mem_inst._009_,117.24
core.bgc_12.lfsr_col.seed_mem\[1\],117.19
core.bgc_6.lfsr_row.seed_mem\[3\],116.73
core.bgc_7.lfsr_col.seed_mem\[11\],116.68
core.bgc_7.lfsr_col.seed_mem\[5\],116.68
core.bgc_9.lfsr_col.seed_mem\[1\],116.63
clknet_leaf_221_clk,116.27
core.bgc_6.lfsr_row.seed_mem\[2\],116.22
clknet_leaf_16_clk,116.17
core.bgc_3.lfsr_row.seed_mem\[6\],115.56
clknet_leaf_24_clk,115.51
clknet_leaf_127_clk,115.51
core.bgc_14.lfsr_row.seed_mem\[5\],115.05
core.bgc_5.lfsr_col.seed_mem\[1\],114.95
clknet_leaf_72_clk,114.49
clknet_leaf_190_clk,113.88
core.bgc_1.lfsr_col.seed_mem\[5\],113.78
core.bgc_6.comp_col.x,113.78
clknet_leaf_84_clk,113.68
core.res_mem_inst.slot\[6\].slot_reg.mode\[1\],113.42
core.bgc_11.col_reg.q\[3\],113.37
clknet_leaf_97_clk,113.37
core.bgc_0.comp_col.x,112.81
clknet_leaf_216_clk,112.81
core.bgc_9.lfsr_row.seed_mem\[5\],112.25
core.timer_inst._02_,112.05
core.bgc_15.lfsr_col.seed_mem\[9\],111.79
core.bgc_9.lfsr_col.seed_mem\[5\],111.59
clknet_leaf_107_clk,111.59
core.bgc_11.lfsr_col.seed_mem\[2\],111.08
clknet_leaf_160_clk,110.52
core.bgc_0.col_reg.q\[9\],110.42
core.bgc_4.lfsr_col.seed_mem\[9\],110.42
core.bgc_13.comp_row.x,110.32
core.bgc_13.lfsr_row.seed_mem\[4\],110.01
clknet_leaf_147_clk,109.96
clknet_leaf_201_clk,109.96
clknet_leaf_178_clk,109.35
core.bgc_2.lfsr_row.seed_mem\[3\],109.25
core.bgc_0.prev_step_output\[0\],108.84
core.bgc_12.lfsr_row.seed_mem\[5\],108.84
clknet_leaf_214_clk,108.84
core.bgc_8.lfsr_row.seed_mem\[2\],108.74
clknet_leaf_17_clk,108.38
clknet_leaf_56_clk,108.33
core.bgc_3.lfsr_row.seed_mem\[5\],108.13
core.bgc_5.lfsr_row.seed_mem\[3\],107.72
clknet_leaf_90_clk,107.72
core.bgc_9.lfsr_row.seed_mem\[3\],107.62
core.adder_tree._0638_,107.52
clknet_leaf_220_clk,106.7
core.bgc_12.lfsr_row.seed_mem\[3\],106.6
clknet_leaf_40_clk,106.5
core.bgc_3.lfsr_col.seed_mem\[1\],106.45
core.bgc_14.lfsr_col.seed_mem\[0\],106.09
clknet_leaf_44_clk,106.04
core.bgc_8.lfsr_col.seed_mem\[5\],105.99
clknet_leaf_91_clk,105.99
clknet_leaf_194_clk,105.99
core.bgc_13.lfsr_row.seed_mem\[3\],105.94
clknet_leaf_8_clk,105.53
core.bgc_11.lfsr_col.seed_mem\[3\],105.48
core.bgc_2.lfsr_row.seed_mem\[8\],105.48
clknet_leaf_10_clk,105.43
clknet_leaf_87_clk,105.12
core.adder_tree.r\[1\]\[10\],104.36
core.bgc_11.lfsr_row.seed_mem\[3\],104.21
clknet_leaf_148_clk,103.9
core.bgc_6.lfsr_col.seed_mem\[8\],103.8
core.bgc_8.final_counter._01_,103.34
core.bgc_0.final_counter._16_,103.19
core.bgc_12.comp_row.x,103.04
clknet_leaf_27_clk,102.68
core.bgc_6.lfsr_col.seed_mem\[2\],102.63
core.bgc_8.lfsr_col.seed_mem\[1\],102.48
clknet_leaf_20_clk,102.22
clknet_leaf_39_clk,102.22
core.bgc_5.prev_step_output\[9\],102.17
clknet_leaf_11_clk,102.12
core.adder_tree.r\[1\]\[6\],102.07
core.bgc_2.lfsr_row.seed_mem\[4\],102.07
core.bgc_12.lfsr_col.seed_mem\[5\],102.02
clknet_leaf_18_clk,101.61
clknet_leaf_36_clk,101.61
core.bgc_5.lfsr_row.seed_mem\[4\],101.41
core.bgc_8.col_reg.q\[4\],101
clknet_leaf_182_clk,101
core.adder_tree._0397_,100.95
core.bgc_13.lfsr_row.seed_mem\[2\],100.9
core.bgc_15.lfsr_col.seed_mem\[7\],100.85
core.bgc_3.lfsr_col.seed_mem\[6\],100.8
core.bgc_6.comp_row.x,100.8
clknet_leaf_52_clk,100.54
clknet_leaf_209_clk,100.49
core.bgc_6.lfsr_col.seed_mem\[4\],100.44
clknet_leaf_207_clk,100.39
core.bgc_10.lfsr_row.seed_mem\[4\],100.24
core.adder_tree.r\[6\]\[10\],99.93
clknet_leaf_212_clk,99.88
core.bgc_9.lfsr_col.seed_mem\[8\],99.78
clknet_leaf_165_clk,98.99
clknet_leaf_188_clk,98.86
core.bgc_11.col_reg.q\[2\],98.76
core.bgc_11.col_reg.q\[10\],98.71
clknet_leaf_161_clk,98.71
clknet_leaf_164_clk,98.71
clknet_leaf_204_clk,98.71
core.bgc_0.col_reg.q\[1\],98.3
core.bgc_6.final_counter._16_,98.25
core.bgc_5.lfsr_row.seed_mem\[1\],98.15
core.bgc_3.lfsr_col.seed_mem\[5\],98.1
core.res_mem_inst._018_,97.44
core.adder_tree.r\[6\]\[6\],97.23
clknet_leaf_67_clk,97.08
clknet_leaf_159_clk,96.98
core.bgc_0.lfsr_col.seed_mem\[3\],96.47
clknet_leaf_198_clk,96.47
core.adder_tree.r\[5\]\[0\],96.32
core.bgc_8.lfsr_col.seed_mem\[7\],96.01
core.bgc_10.lfsr_row.seed_mem\[2\],95.91
core.bgc_11.col_reg.q\[11\],95.91
clknet_leaf_151_clk,95.35
core.adder_tree.r\[10\]\[0\],95.3
clknet_leaf_187_clk,95.3
core.adder_tree.r\[4\]\[6\],95.25
clknet_leaf_116_clk,94.84
clknet_leaf_119_clk,94.84
clknet_leaf_50_clk,94.74
clknet_leaf_217_clk,94.08
clknet_leaf_54_clk,93.72
clknet_leaf_114_clk,93.72
clknet_leaf_219_clk,93.67
core.bgc_4.lfsr_row.seed_mem\[2\],93.16
core.bgc_13.lfsr_row.seed_mem\[1\],93.06
core.bgc_12.lfsr_row.seed_mem\[2\],93.01
core.bgc_13.lfsr_col.seed_mem\[10\],92.6
clknet_leaf_101_clk,92.6
core.bgc_3.lfsr_row.seed_mem\[4\],92.55
core.bgc_14.comp_row.B\[11\],92.5
clknet_leaf_21_clk,92.5
clknet_leaf_85_clk,92.5
core.bgc_11.col_reg.q\[1\],92.09
clknet_leaf_47_clk,91.99
core.adder_tree.r\[10\]\[7\],91.94
core.bgc_14.comp_row.B\[4\],91.94
core.bgc_7.lfsr_col.seed_mem\[9\],91.94
core.bgc_10.lfsr_col.seed_mem\[5\],91.43
core.bgc_13.prev_step_output\[10\],91.43
clknet_leaf_125_clk,91.43
clknet_leaf_167_clk,91.43
clknet_leaf_200_clk,91.43
clknet_leaf_189_clk,91.38
clknet_leaf_63_clk,91.33
core.adder_tree.r\[15\]\[6\],91.02
core.adder_tree._0158_,90.82
core.bgc_1.comp_row.B\[7\],90.82
clknet_leaf_25_clk,90.26
core.adder_tree._0699_,90.21
core.bgc_9.lfsr_row.seed_mem\[8\],90.21
core.bgc_8.comp_row.B\[11\],89.75
core.adder_tree._0714_,89.6
core.bgc_0.final_counter._09_,89.6
core.bgc_3.final_counter._09_,89.24
core.bgc_10.lfsr_row.seed_mem\[10\],89.19
core.bgc_7.lfsr_row.seed_mem\[4\],89.19
core.adder_tree.r\[11\]\[0\],89.14
core.bgc_12.lfsr_col.seed_mem\[4\],88.68
core.bgc_11.lfsr_col.seed_mem\[9\],88.58
core.bgc_9.lfsr_row.seed_mem\[1\],88.58
clknet_leaf_115_clk,88.58
clknet_leaf_156_clk,88.58
core.bgc_12.lfsr_row.seed_mem\[8\],88.53
core.bgc_15.lfsr_col.seed_mem\[6\],88.53
clknet_leaf_68_clk,88.53
core.bgc_8.final_counter._16_,88.12
clknet_leaf_35_clk,88.12
core.bgc_0.comp_row.B\[10\],88.07
core.bgc_14.lfsr_col.seed_mem\[3\],88.07
core.bgc_0.lfsr_col.seed_mem\[1\],87.97
core.bgc_6.col_reg.q\[10\],87.97
core.bgc_2.lfsr_col.seed_mem\[2\],87.51
core.bgc_15.lfsr_col.seed_mem\[2\],87.46
core.bgc_9.lfsr_row.seed_mem\[7\],87.46
clknet_leaf_95_clk,87.36
core.bgc_10.col_reg.q\[1\],87
core.bgc_7.final_counter._16_,87
clknet_leaf_177_clk,87
core.bgc_1.comp_row.B\[2\],86.95
clknet_leaf_112_clk,86.95
core.bgc_12.lfsr_row.seed_mem\[4\],86.9
core.bgc_14.lfsr_row.seed_mem\[4\],86.9
core.adder_tree._0336_,86.85
core.adder_tree._0491_,86.85
core.adder_tree._0667_,86.85
core.adder_tree._0708_,86.85
core.bgc_11.lfsr_col.seed_mem\[5\],86.85
core.bgc_12.comp_row.B\[10\],86.85
clknet_leaf_169_clk,86.49
clknet_leaf_34_clk,86.39
core.adder_tree.r\[12\]\[10\],86.34
core.bgc_12.lfsr_row.seed_mem\[0\],86.34
core.bgc_14.lfsr_col.seed_mem\[4\],86.34
core.bgc_5.lfsr_col.seed_mem\[7\],86.34
core.bgc_10.comp_row.B\[11\],86.29
core.bgc_6.comp_row.B\[8\],86.29
core.adder_tree.r\[2\]\[0\],85.88
clknet_leaf_80_clk,85.88
core.bgc_12.comp_row.B\[4\],85.78
core.bgc_7.comp_row.B\[3\],85.78
clknet_leaf_99_clk,85.73
clknet_leaf_157_clk,85.37
clknet_leaf_172_clk,85.37
clknet_leaf_75_clk,85.32
core.bgc_4.prev_step_output\[10\],85.27
core.bgc_4.comp_row.x,85.22
core.bgc_7.lfsr_row.seed_mem\[2\],85.22
core.bgc_9.comp_row.B\[10\],85.22
core.bgc_9.comp_row.B\[3\],85.17
clknet_leaf_158_clk,84.71
core.bgc_0.col_reg.q\[10\],84.66
core.bgc_1.col_reg.q\[11\],84.66
core.res_mem_inst.slot\[0\].slot_reg.mode\[1\],84.66
clknet_leaf_154_clk,84.66
core.bgc_0.col_reg.q\[0\],84.61
core.bgc_12.col_reg.q\[3\],84.3
core.bgc_7.lfsr_col.seed_mem\[3\],84.1
core.bgc_8.prev_step_output\[1\],84.1
clknet_leaf_152_clk,84.1
core.bgc_6.lfsr_row.seed_mem\[5\],84.05
clknet_leaf_86_clk,83.69
core.bgc_7.lfsr_col.seed_mem\[6\],83.59
core.adder_tree._0205_,83.54
core.bgc_11.lfsr_row.seed_mem\[2\],83.54
core.bgc_6.lfsr_col.seed_mem\[11\],83.54
core.res_mem_inst.slot\[15\].slot_reg.mode\[0\],83.54
core.adder_tree._0436_,83.44
core.adder_tree.r\[8\]\[0\],83.13
