Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
412,12'h19C,0.7812,1
413,12'h19D,0.2812,1
414,12'h19E,0.5312,1
415,12'h19F,0.0312,1
416,12'h1A0,1.0000,1
417,12'h1A1,0.4688,1
418,12'h1A2,0.7500,1
419,12'h1A3,0.2188,1
420,12'h1A4,0.8438,1
421,12'h1A5,0.3438,1
422,12'h1A6,0.5938,1
423,12'h1A7,0.0938,1
424,12'h1A8,0.9062,1
425,12'h1A9,0.4062,1
426,12'h1AA,0.6875,1
427,12'h1AB,0.1875,1
428,12'h1AC,0.7812,1
429,12'h1AD,0.3125,1
430,12'h1AE,0.5625,1
431,12'h1AF,0.0312,1
432,12'h1B0,0.9375,1
433,12'h1B1,0.4375,1
434,12'h1B2,0.6875,1
435,12'h1B3,0.1875,1
436,12'h1B4,0.8438,1
437,12'h1B5,0.3125,1
438,12'h1B6,0.5625,1
439,12'h1B7,0.0938,1
440,12'h1B8,0.9062,1
441,12'h1B9,0.4062,1
442,12'h1BA,0.6562,1
443,12'h1BB,0.1562,1
444,12'h1BC,0.7500,1
445,12'h1BD,0.2500,1
446,12'h1BE,0.5000,1
447,12'h1BF,0.0000,0
448,12'h1C0,1.0000,1
449,12'h1C1,0.5000,1
450,12'h1C2,0.7500,1
451,12'h1C3,0.2188,1
452,12'h1C4,0.8438,1
453,12'h1C5,0.3750,1
454,12'h1C6,0.5938,1
455,12'h1C7,0.1250,1
456,12'h1C8,0.9375,1
457,12'h1C9,0.4062,1
458,12'h1CA,0.6875,1
459,12'h1CB,0.1875,1
460,12'h1CC,0.7812,1
461,12'h1CD,0.3125,1
462,12'h1CE,0.5625,1
463,12'h1CF,0.0625,1
464,12'h1D0,0.9375,1
465,12'h1D1,0.4688,1
466,12'h1D2,0.7188,1
467,12'h1D3,0.2188,1
468,12'h1D4,0.8438,1
469,12'h1D5,0.3438,1
470,12'h1D6,0.5625,1
471,12'h1D7,0.0938,1
472,12'h1D8,0.9062,1
473,12'h1D9,0.4062,1
474,12'h1DA,0.6562,1
475,12'h1DB,0.1562,1
476,12'h1DC,0.7812,1
477,12'h1DD,0.2812,1
478,12'h1DE,0.5000,1
479,12'h1DF,0.0000,0
480,12'h1E0,0.9688,1
481,12'h1E1,0.4688,1
482,12'h1E2,0.7188,1
483,12'h1E3,0.2188,1
484,12'h1E4,0.8438,1
485,12'h1E5,0.3438,1
486,12'h1E6,0.5938,1
487,12'h1E7,0.0938,1
488,12'h1E8,0.9062,1
489,12'h1E9,0.4062,1
