Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
67,12'h043,0.2500,1,0.1108
68,12'h044,0.8750,1,0.1105
69,12'h045,0.3750,1,0.1107
70,12'h046,0.6250,1,0.1107
71,12'h047,0.0938,1,0.1107
72,12'h048,0.9375,1,0.1105
73,12'h049,0.4062,1,0.1106
74,12'h04A,0.6875,1,0.1107
75,12'h04B,0.1875,1,0.1107
76,12'h04C,0.8125,1,0.1108
77,12'h04D,0.3125,1,0.1108
78,12'h04E,0.5625,1,0.1109
79,12'h04F,0.0625,1,0.1109
80,12'h050,0.9688,1,0.1109
81,12'h051,0.4688,1,0.1110
82,12'h052,0.7188,1,0.1108
83,12'h053,0.2188,1,0.1109
84,12'h054,0.8438,1,0.1107
85,12'h055,0.3438,1,0.1108
86,12'h056,0.5938,1,0.1107
87,12'h057,0.0625,1,0.1107
88,12'h058,0.9062,1,0.1107
89,12'h059,0.3750,1,0.1108
90,12'h05A,0.6250,1,0.1107
91,12'h05B,0.1562,1,0.1107
92,12'h05C,0.7500,1,0.1108
93,12'h05D,0.2812,1,0.1107
94,12'h05E,0.5000,1,0.1108
95,12'h05F,0.0000,0,0.1105
96,12'h060,0.9688,1,0.1105
97,12'h061,0.4688,1,0.1107
98,12'h062,0.7188,1,0.1107
99,12'h063,0.2188,1,0.1107
100,12'h064,0.8438,1,0.1107
101,12'h065,0.3750,1,0.1107
102,12'h066,0.6250,1,0.1107
103,12'h067,0.0938,1,0.1107
104,12'h068,0.9375,1,0.1106
105,12'h069,0.4062,1,0.1106
106,12'h06A,0.6875,1,0.1109
107,12'h06B,0.1562,1,0.1108
108,12'h06C,0.7812,1,0.1109
109,12'h06D,0.2812,1,0.1108
110,12'h06E,0.5312,1,0.1109
111,12'h06F,0.0312,1,0.1108
112,12'h070,0.9375,1,0.1107
113,12'h071,0.4688,1,0.1108
114,12'h072,0.6875,1,0.1107
115,12'h073,0.1875,1,0.1107
116,12'h074,0.8125,1,0.1107
117,12'h075,0.3438,1,0.1107
118,12'h076,0.5625,1,0.1105
119,12'h077,0.0625,1,0.1105
120,12'h078,0.8750,1,0.1107
121,12'h079,0.3750,1,0.1106
122,12'h07A,0.6250,1,0.1107
123,12'h07B,0.1250,1,0.1106
124,12'h07C,0.7500,1,0.1108
125,12'h07D,0.2812,1,0.1106
126,12'h07E,0.5000,1,0.1107
127,12'h07F,0.0000,0,0.1101
128,12'h080,0.9688,1,0.1108
129,12'h081,0.5000,1,0.1110
130,12'h082,0.7500,1,0.1109
131,12'h083,0.2500,1,0.1110
132,12'h084,0.8750,1,0.1108
133,12'h085,0.3750,1,0.1110
134,12'h086,0.6250,1,0.1107
135,12'h087,0.1250,1,0.1108
136,12'h088,0.9375,1,0.1105
137,12'h089,0.4062,1,0.1107
138,12'h08A,0.6875,1,0.1107
139,12'h08B,0.1875,1,0.1107
140,12'h08C,0.8125,1,0.1107
141,12'h08D,0.3125,1,0.1107
142,12'h08E,0.5625,1,0.1107
143,12'h08F,0.0625,1,0.1106
144,12'h090,0.9688,1,0.1105
145,12'h091,0.4688,1,0.1107
146,12'h092,0.7188,1,0.1107
147,12'h093,0.2188,1,0.1107
148,12'h094,0.8438,1,0.1108
149,12'h095,0.3438,1,0.1107
150,12'h096,0.5938,1,0.1107
151,12'h097,0.0938,1,0.1107
152,12'h098,0.9062,1,0.1107
153,12'h099,0.4062,1,0.1107
154,12'h09A,0.6562,1,0.1109
155,12'h09B,0.1562,1,0.1108
156,12'h09C,0.7812,1,0.1109
157,12'h09D,0.2812,1,0.1108
158,12'h09E,0.5312,1,0.1110
159,12'h09F,0.0312,1,0.1108
160,12'h0A0,0.9688,1,0.1109
161,12'h0A1,0.4688,1,0.1111
162,12'h0A2,0.7188,1,0.1109
163,12'h0A3,0.2500,1,0.1110
164,12'h0A4,0.8438,1,0.1108
165,12'h0A5,0.3750,1,0.1109
166,12'h0A6,0.6250,1,0.1108
167,12'h0A7,0.0938,1,0.1108
168,12'h0A8,0.9375,1,0.1107
169,12'h0A9,0.4062,1,0.1108
170,12'h0AA,0.6875,1,0.1107
171,12'h0AB,0.1875,1,0.1108
172,12'h0AC,0.7812,1,0.1108
173,12'h0AD,0.2812,1,0.1107
174,12'h0AE,0.5312,1,0.1109
175,12'h0AF,0.0312,1,0.1107
176,12'h0B0,0.9375,1,0.1107
177,12'h0B1,0.4688,1,0.1108
178,12'h0B2,0.6875,1,0.1108
179,12'h0B3,0.1875,1,0.1108
180,12'h0B4,0.8438,1,0.1108
181,12'h0B5,0.3438,1,0.1107
182,12'h0B6,0.5625,1,0.1108
183,12'h0B7,0.0625,1,0.1107
184,12'h0B8,0.8750,1,0.1108
185,12'h0B9,0.3750,1,0.1107
186,12'h0BA,0.6250,1,0.1109
187,12'h0BB,0.1250,1,0.1107
188,12'h0BC,0.7500,1,0.1110
189,12'h0BD,0.2812,1,0.1109
190,12'h0BE,0.5000,1,0.1111
191,12'h0BF,0.0000,0,0.1109
192,12'h0C0,0.9688,1,0.1107
193,12'h0C1,0.4688,1,0.1109
194,12'h0C2,0.7188,1,0.1108
195,12'h0C3,0.2500,1,0.1109
196,12'h0C4,0.8750,1,0.1107
197,12'h0C5,0.3750,1,0.1108
198,12'h0C6,0.6250,1,0.1108
199,12'h0C7,0.0938,1,0.1108
200,12'h0C8,0.9375,1,0.1108
201,12'h0C9,0.4062,1,0.1109
202,12'h0CA,0.6875,1,0.1108
203,12'h0CB,0.1875,1,0.1109
204,12'h0CC,0.8125,1,0.1107
205,12'h0CD,0.3125,1,0.1107
206,12'h0CE,0.5625,1,0.1106
207,12'h0CF,0.0625,1,0.1106
208,12'h0D0,0.9688,1,0.1105
209,12'h0D1,0.4688,1,0.1107
210,12'h0D2,0.7188,1,0.1107
211,12'h0D3,0.2188,1,0.1107
212,12'h0D4,0.8438,1,0.1108
213,12'h0D5,0.3438,1,0.1107
214,12'h0D6,0.5938,1,0.1109
215,12'h0D7,0.0625,1,0.1108
216,12'h0D8,0.8750,1,0.1108
217,12'h0D9,0.3750,1,0.1108
218,12'h0DA,0.6250,1,0.1108
219,12'h0DB,0.1562,1,0.1107
220,12'h0DC,0.7500,1,0.1109
221,12'h0DD,0.2812,1,0.1108
222,12'h0DE,0.5000,1,0.1109
223,12'h0DF,0.0000,0,0.1107
224,12'h0E0,0.9688,1,0.1105
225,12'h0E1,0.4688,1,0.1108
226,12'h0E2,0.7188,1,0.1107
227,12'h0E3,0.2188,1,0.1108
228,12'h0E4,0.8438,1,0.1107
229,12'h0E5,0.3750,1,0.1108
230,12'h0E6,0.6250,1,0.1107
231,12'h0E7,0.0938,1,0.1107
232,12'h0E8,0.9062,1,0.1107
233,12'h0E9,0.4062,1,0.1108
234,12'h0EA,0.6562,1,0.1107
235,12'h0EB,0.1562,1,0.1108
236,12'h0EC,0.7812,1,0.1106
237,12'h0ED,0.2812,1,0.1106
238,12'h0EE,0.5312,1,0.1104
239,12'h0EF,0.0312,1,0.1103
240,12'h0F0,0.9375,1,0.1105
241,12'h0F1,0.4375,1,0.1105
242,12'h0F2,0.6875,1,0.1108
243,12'h0F3,0.1875,1,0.1107
244,12'h0F4,0.8125,1,0.1108
245,12'h0F5,0.3125,1,0.1107
246,12'h0F6,0.5625,1,0.1109
247,12'h0F7,0.0625,1,0.1107
248,12'h0F8,0.8750,1,0.1107
249,12'h0F9,0.3750,1,0.1107
250,12'h0FA,0.6250,1,0.1108
251,12'h0FB,0.1250,1,0.1107
252,12'h0FC,0.7500,1,0.1108
253,12'h0FD,0.2500,1,0.1107
254,12'h0FE,0.5000,1,0.1107
255,12'h0FF,0.0000,0,0.1104
256,12'h100,1.0000,1,0.1101
257,12'h101,0.5000,1,0.1108
258,12'h102,0.7500,1,0.1107
259,12'h103,0.2500,1,0.1108
260,12'h104,0.8750,1,0.1107
261,12'h105,0.3750,1,0.1109
262,12'h106,0.6250,1,0.1108
263,12'h107,0.1250,1,0.1108
264,12'h108,0.9375,1,0.1108
265,12'h109,0.4062,1,0.1109
266,12'h10A,0.6875,1,0.1108
267,12'h10B,0.1875,1,0.1108
268,12'h10C,0.8125,1,0.1107
269,12'h10D,0.3125,1,0.1108
270,12'h10E,0.5625,1,0.1106
271,12'h10F,0.0625,1,0.1106
272,12'h110,0.9688,1,0.1102
273,12'h111,0.4688,1,0.1103
274,12'h112,0.7188,1,0.1106
275,12'h113,0.2188,1,0.1106
276,12'h114,0.8438,1,0.1107
277,12'h115,0.3438,1,0.1106
278,12'h116,0.5938,1,0.1108
279,12'h117,0.0938,1,0.1106
280,12'h118,0.9062,1,0.1106
281,12'h119,0.4062,1,0.1107
282,12'h11A,0.6562,1,0.1108
283,12'h11B,0.1562,1,0.1106
284,12'h11C,0.7812,1,0.1108
285,12'h11D,0.2812,1,0.1107
286,12'h11E,0.5312,1,0.1107
287,12'h11F,0.0312,1,0.1104
288,12'h120,0.9688,1,0.1107
289,12'h121,0.4688,1,0.1109
290,12'h122,0.7188,1,0.1108
291,12'h123,0.2500,1,0.1109
292,12'h124,0.8438,1,0.1107
293,12'h125,0.3750,1,0.1108
294,12'h126,0.6250,1,0.1108
295,12'h127,0.0938,1,0.1108
296,12'h128,0.9375,1,0.1108
297,12'h129,0.4062,1,0.1109
298,12'h12A,0.6875,1,0.1107
299,12'h12B,0.1875,1,0.1108
300,12'h12C,0.7812,1,0.1107
301,12'h12D,0.2812,1,0.1107
302,12'h12E,0.5312,1,0.1106
303,12'h12F,0.0312,1,0.1105
304,12'h130,0.9375,1,0.1106
305,12'h131,0.4688,1,0.1107
306,12'h132,0.6875,1,0.1107
307,12'h133,0.2188,1,0.1107
308,12'h134,0.8438,1,0.1108
309,12'h135,0.3438,1,0.1107
310,12'h136,0.5625,1,0.1110
311,12'h137,0.0625,1,0.1108
312,12'h138,0.8750,1,0.1108
313,12'h139,0.3750,1,0.1108
314,12'h13A,0.6250,1,0.1108
315,12'h13B,0.1250,1,0.1107
316,12'h13C,0.7500,1,0.1109
317,12'h13D,0.2812,1,0.1108
318,12'h13E,0.5000,1,0.1110
319,12'h13F,0.0000,0,0.1107
320,12'h140,0.9688,1,0.1109
321,12'h141,0.5000,1,0.1111
322,12'h142,0.7188,1,0.1109
323,12'h143,0.2500,1,0.1110
324,12'h144,0.8750,1,0.1108
325,12'h145,0.3750,1,0.1109
326,12'h146,0.6250,1,0.1108
327,12'h147,0.0938,1,0.1108
328,12'h148,0.9375,1,0.1107
329,12'h149,0.4062,1,0.1109
330,12'h14A,0.6875,1,0.1107
331,12'h14B,0.1875,1,0.1108
332,12'h14C,0.8125,1,0.1107
333,12'h14D,0.3125,1,0.1108
334,12'h14E,0.5625,1,0.1109
335,12'h14F,0.0625,1,0.1107
336,12'h150,0.9688,1,0.1106
337,12'h151,0.4688,1,0.1108
338,12'h152,0.7188,1,0.1107
339,12'h153,0.2188,1,0.1108
340,12'h154,0.8438,1,0.1107
341,12'h155,0.3438,1,0.1107
342,12'h156,0.5938,1,0.1108
343,12'h157,0.0625,1,0.1107
344,12'h158,0.8750,1,0.1107
345,12'h159,0.3750,1,0.1107
346,12'h15A,0.6250,1,0.1108
347,12'h15B,0.1562,1,0.1107
348,12'h15C,0.7500,1,0.1110
349,12'h15D,0.2812,1,0.1109
350,12'h15E,0.5000,1,0.1111
351,12'h15F,0.0000,0,0.1108
352,12'h160,0.9688,1,0.1107
353,12'h161,0.4688,1,0.1109
354,12'h162,0.7188,1,0.1108
355,12'h163,0.2188,1,0.1109
356,12'h164,0.8438,1,0.1108
357,12'h165,0.3750,1,0.1109
358,12'h166,0.6250,1,0.1106
359,12'h167,0.0938,1,0.1107
360,12'h168,0.9375,1,0.1106
361,12'h169,0.4062,1,0.1107
362,12'h16A,0.6562,1,0.1107
363,12'h16B,0.1562,1,0.1107
364,12'h16C,0.7812,1,0.1107
365,12'h16D,0.2812,1,0.1107
366,12'h16E,0.5312,1,0.1107
367,12'h16F,0.0312,1,0.1105
368,12'h170,0.9375,1,0.1107
369,12'h171,0.4688,1,0.1107
370,12'h172,0.6875,1,0.1108
371,12'h173,0.1875,1,0.1107
372,12'h174,0.8125,1,0.1108
373,12'h175,0.3125,1,0.1107
374,12'h176,0.5625,1,0.1108
375,12'h177,0.0625,1,0.1106
376,12'h178,0.8750,1,0.1108
377,12'h179,0.3750,1,0.1108
378,12'h17A,0.6250,1,0.1110
379,12'h17B,0.1250,1,0.1109
380,12'h17C,0.7500,1,0.1110
381,12'h17D,0.2812,1,0.1109
382,12'h17E,0.5000,1,0.1111
383,12'h17F,0.0000,0,0.1108
384,12'h180,0.9688,1,0.1103
385,12'h181,0.5000,1,0.1107
386,12'h182,0.7188,1,0.1106
387,12'h183,0.2500,1,0.1108
388,12'h184,0.8750,1,0.1106
389,12'h185,0.3750,1,0.1108
390,12'h186,0.6250,1,0.1107
391,12'h187,0.0938,1,0.1107
392,12'h188,0.9375,1,0.1105
393,12'h189,0.4062,1,0.1106
394,12'h18A,0.6875,1,0.1107
395,12'h18B,0.1875,1,0.1107
396,12'h18C,0.8125,1,0.1108
397,12'h18D,0.3125,1,0.1108
398,12'h18E,0.5625,1,0.1109
399,12'h18F,0.0625,1,0.1108
400,12'h190,0.9688,1,0.1107
401,12'h191,0.4688,1,0.1109
402,12'h192,0.7188,1,0.1108
403,12'h193,0.2188,1,0.1108
404,12'h194,0.8438,1,0.1107
405,12'h195,0.3438,1,0.1108
406,12'h196,0.5938,1,0.1106
407,12'h197,0.0938,1,0.1106
408,12'h198,0.9062,1,0.1106
409,12'h199,0.4062,1,0.1106
410,12'h19A,0.6562,1,0.1107
411,12'h19B,0.1562,1,0.1107
412,12'h19C,0.7812,1,0.1107
413,12'h19D,0.2812,1,0.1106
414,12'h19E,0.5000,1,0.1107
415,12'h19F,0.0312,1,0.1104
416,12'h1A0,0.9688,1,0.1105
417,12'h1A1,0.4688,1,0.1108
418,12'h1A2,0.7188,1,0.1107
419,12'h1A3,0.2500,1,0.1108
420,12'h1A4,0.8438,1,0.1106
421,12'h1A5,0.3750,1,0.1107
422,12'h1A6,0.6250,1,0.1107
423,12'h1A7,0.0938,1,0.1107
424,12'h1A8,0.9375,1,0.1106
425,12'h1A9,0.4062,1,0.1106
426,12'h1AA,0.6875,1,0.1108
427,12'h1AB,0.1875,1,0.1107
428,12'h1AC,0.7812,1,0.1109
429,12'h1AD,0.2812,1,0.1108
430,12'h1AE,0.5312,1,0.1110
431,12'h1AF,0.0312,1,0.1108
432,12'h1B0,0.9375,1,0.1109
433,12'h1B1,0.4688,1,0.1110
434,12'h1B2,0.6875,1,0.1108
435,12'h1B3,0.1875,1,0.1108
436,12'h1B4,0.8125,1,0.1107
437,12'h1B5,0.3438,1,0.1107
438,12'h1B6,0.5625,1,0.1107
439,12'h1B7,0.0625,1,0.1106
440,12'h1B8,0.8750,1,0.1108
441,12'h1B9,0.3750,1,0.1107
442,12'h1BA,0.6250,1,0.1107
443,12'h1BB,0.1250,1,0.1106
444,12'h1BC,0.7500,1,0.1108
445,12'h1BD,0.2812,1,0.1106
446,12'h1BE,0.5000,1,0.1108
447,12'h1BF,0.0000,0,0.1104
448,12'h1C0,0.9688,1,0.1102
449,12'h1C1,0.4688,1,0.1106
450,12'h1C2,0.7188,1,0.1105
451,12'h1C3,0.2500,1,0.1106
452,12'h1C4,0.8750,1,0.1106
453,12'h1C5,0.3750,1,0.1106
454,12'h1C6,0.6250,1,0.1108
455,12'h1C7,0.0938,1,0.1108
456,12'h1C8,0.9375,1,0.1107
457,12'h1C9,0.4062,1,0.1108
458,12'h1CA,0.6875,1,0.1107
459,12'h1CB,0.1875,1,0.1107
460,12'h1CC,0.8125,1,0.1108
461,12'h1CD,0.2812,1,0.1107
462,12'h1CE,0.5625,1,0.1108
463,12'h1CF,0.0625,1,0.1107
464,12'h1D0,0.9375,1,0.1107
465,12'h1D1,0.4688,1,0.1108
466,12'h1D2,0.7188,1,0.1107
467,12'h1D3,0.2188,1,0.1108
468,12'h1D4,0.8438,1,0.1107
469,12'h1D5,0.3438,1,0.1107
470,12'h1D6,0.5625,1,0.1107
471,12'h1D7,0.0625,1,0.1107
472,12'h1D8,0.8750,1,0.1108
473,12'h1D9,0.3750,1,0.1108
474,12'h1DA,0.6250,1,0.1106
475,12'h1DB,0.1562,1,0.1106
476,12'h1DC,0.7500,1,0.1107
477,12'h1DD,0.2812,1,0.1105
478,12'h1DE,0.5000,1,0.1105
479,12'h1DF,0.0000,0,0.1101
480,12'h1E0,0.9688,1,0.1102
481,12'h1E1,0.4688,1,0.1103
482,12'h1E2,0.7188,1,0.1106
483,12'h1E3,0.2188,1,0.1106
484,12'h1E4,0.8438,1,0.1107
485,12'h1E5,0.3438,1,0.1106
486,12'h1E6,0.6250,1,0.1107
487,12'h1E7,0.0938,1,0.1106
488,12'h1E8,0.9062,1,0.1106
489,12'h1E9,0.4062,1,0.1106
490,12'h1EA,0.6562,1,0.1107
491,12'h1EB,0.1562,1,0.1106
492,12'h1EC,0.7812,1,0.1108
493,12'h1ED,0.2812,1,0.1107
494,12'h1EE,0.5312,1,0.1107
495,12'h1EF,0.0312,1,0.1104
496,12'h1F0,0.9375,1,0.1106
497,12'h1F1,0.4375,1,0.1107
498,12'h1F2,0.6875,1,0.1107
499,12'h1F3,0.1875,1,0.1107
500,12'h1F4,0.8125,1,0.1107
501,12'h1F5,0.3125,1,0.1107
502,12'h1F6,0.5625,1,0.1107
503,12'h1F7,0.0625,1,0.1105
504,12'h1F8,0.8750,1,0.1107
505,12'h1F9,0.3750,1,0.1107
506,12'h1FA,0.6250,1,0.1107
507,12'h1FB,0.1250,1,0.1104
508,12'h1FC,0.7500,1,0.1106
509,12'h1FD,0.2500,1,0.1103
510,12'h1FE,0.5000,1,0.1104
511,12'h1FF,0.0000,0,0.1093
512,12'h200,1.0000,1,0.1082
513,12'h201,0.5000,1,0.1105
514,12'h202,0.7500,1,0.1104
515,12'h203,0.2500,1,0.1107
516,12'h204,0.8750,1,0.1104
517,12'h205,0.3750,1,0.1106
518,12'h206,0.6250,1,0.1107
519,12'h207,0.1250,1,0.1108
520,12'h208,0.9375,1,0.1106
521,12'h209,0.4062,1,0.1108
522,12'h20A,0.6875,1,0.1107
523,12'h20B,0.1875,1,0.1107
524,12'h20C,0.8125,1,0.1107
525,12'h20D,0.3125,1,0.1107
526,12'h20E,0.5625,1,0.1108
527,12'h20F,0.0625,1,0.1107
528,12'h210,0.9688,1,0.1107
529,12'h211,0.4688,1,0.1109
530,12'h212,0.7188,1,0.1107
531,12'h213,0.2188,1,0.1108
532,12'h214,0.8438,1,0.1107
533,12'h215,0.3438,1,0.1108
534,12'h216,0.5938,1,0.1108
535,12'h217,0.0938,1,0.1108
536,12'h218,0.9062,1,0.1108
537,12'h219,0.4062,1,0.1109
538,12'h21A,0.6562,1,0.1107
539,12'h21B,0.1562,1,0.1107
540,12'h21C,0.7812,1,0.1107
541,12'h21D,0.2812,1,0.1106
542,12'h21E,0.5312,1,0.1106
543,12'h21F,0.0312,1,0.1104
544,12'h220,0.9688,1,0.1100
545,12'h221,0.4688,1,0.1104
546,12'h222,0.7188,1,0.1105
547,12'h223,0.2500,1,0.1106
548,12'h224,0.8438,1,0.1106
549,12'h225,0.3750,1,0.1106
550,12'h226,0.6250,1,0.1107
551,12'h227,0.0938,1,0.1107
552,12'h228,0.9375,1,0.1106
553,12'h229,0.4062,1,0.1107
554,12'h22A,0.6875,1,0.1107
555,12'h22B,0.1875,1,0.1107
556,12'h22C,0.8125,1,0.1107
557,12'h22D,0.2812,1,0.1107
558,12'h22E,0.5312,1,0.1107
559,12'h22F,0.0312,1,0.1105
560,12'h230,0.9375,1,0.1105
561,12'h231,0.4688,1,0.1106
562,12'h232,0.6875,1,0.1107
563,12'h233,0.2188,1,0.1107
564,12'h234,0.8438,1,0.1107
565,12'h235,0.3438,1,0.1107
566,12'h236,0.5625,1,0.1106
567,12'h237,0.0625,1,0.1106
568,12'h238,0.8750,1,0.1107
569,12'h239,0.3750,1,0.1106
570,12'h23A,0.6250,1,0.1106
571,12'h23B,0.1562,1,0.1105
572,12'h23C,0.7500,1,0.1106
573,12'h23D,0.2812,1,0.1104
574,12'h23E,0.5000,1,0.1102
575,12'h23F,0.0000,0,0.1098
576,12'h240,0.9688,1,0.1102
577,12'h241,0.5000,1,0.1107
578,12'h242,0.7188,1,0.1106
579,12'h243,0.2500,1,0.1108
580,12'h244,0.8750,1,0.1106
581,12'h245,0.3750,1,0.1107
582,12'h246,0.6250,1,0.1106
583,12'h247,0.0938,1,0.1107
584,12'h248,0.9375,1,0.1105
585,12'h249,0.4062,1,0.1105
586,12'h24A,0.6875,1,0.1107
587,12'h24B,0.1875,1,0.1107
588,12'h24C,0.8125,1,0.1108
589,12'h24D,0.3125,1,0.1107
590,12'h24E,0.5625,1,0.1108
591,12'h24F,0.0625,1,0.1107
592,12'h250,0.9688,1,0.1108
593,12'h251,0.4688,1,0.1109
594,12'h252,0.7188,1,0.1108
595,12'h253,0.2188,1,0.1109
596,12'h254,0.8438,1,0.1108
597,12'h255,0.3438,1,0.1109
598,12'h256,0.5938,1,0.1106
599,12'h257,0.0625,1,0.1107
600,12'h258,0.8750,1,0.1107
601,12'h259,0.3750,1,0.1107
602,12'h25A,0.6250,1,0.1108
603,12'h25B,0.1562,1,0.1107
604,12'h25C,0.7500,1,0.1107
605,12'h25D,0.2812,1,0.1107
606,12'h25E,0.5000,1,0.1107
607,12'h25F,0.0000,0,0.1104
608,12'h260,0.9688,1,0.1106
609,12'h261,0.4688,1,0.1108
610,12'h262,0.7188,1,0.1107
611,12'h263,0.2188,1,0.1108
612,12'h264,0.8438,1,0.1107
613,12'h265,0.3750,1,0.1107
614,12'h266,0.6250,1,0.1108
615,12'h267,0.0938,1,0.1107
616,12'h268,0.9375,1,0.1107
617,12'h269,0.4062,1,0.1107
618,12'h26A,0.6562,1,0.1108
619,12'h26B,0.1562,1,0.1107
620,12'h26C,0.7812,1,0.1109
621,12'h26D,0.2812,1,0.1108
622,12'h26E,0.5312,1,0.1110
623,12'h26F,0.0312,1,0.1109
624,12'h270,0.9375,1,0.1108
625,12'h271,0.4688,1,0.1109
626,12'h272,0.6875,1,0.1108
627,12'h273,0.1875,1,0.1108
628,12'h274,0.8125,1,0.1107
629,12'h275,0.3438,1,0.1107
630,12'h276,0.5625,1,0.1106
631,12'h277,0.0625,1,0.1105
632,12'h278,0.8750,1,0.1107
633,12'h279,0.3750,1,0.1107
634,12'h27A,0.6250,1,0.1107
635,12'h27B,0.1250,1,0.1105
636,12'h27C,0.7500,1,0.1108
637,12'h27D,0.2812,1,0.1106
638,12'h27E,0.5000,1,0.1108
639,12'h27F,0.0000,0,0.1103
640,12'h280,0.9688,1,0.1109
641,12'h281,0.5000,1,0.1111
642,12'h282,0.7188,1,0.1109
643,12'h283,0.2500,1,0.1110
644,12'h284,0.8750,1,0.1108
645,12'h285,0.3750,1,0.1109
646,12'h286,0.6250,1,0.1108
647,12'h287,0.1250,1,0.1108
648,12'h288,0.9375,1,0.1107
649,12'h289,0.4062,1,0.1108
650,12'h28A,0.6875,1,0.1107
651,12'h28B,0.1875,1,0.1108
652,12'h28C,0.8125,1,0.1107
653,12'h28D,0.3125,1,0.1108
654,12'h28E,0.5625,1,0.1108
655,12'h28F,0.0625,1,0.1107
656,12'h290,0.9688,1,0.1107
657,12'h291,0.4688,1,0.1108
658,12'h292,0.7188,1,0.1107
659,12'h293,0.2188,1,0.1108
660,12'h294,0.8438,1,0.1107
661,12'h295,0.3438,1,0.1107
662,12'h296,0.5938,1,0.1108
663,12'h297,0.0938,1,0.1107
664,12'h298,0.9062,1,0.1107
665,12'h299,0.4062,1,0.1108
666,12'h29A,0.6562,1,0.1109
667,12'h29B,0.1562,1,0.1108
668,12'h29C,0.7812,1,0.1109
669,12'h29D,0.2812,1,0.1109
670,12'h29E,0.5312,1,0.1111
671,12'h29F,0.0312,1,0.1109
672,12'h2A0,0.9688,1,0.1108
673,12'h2A1,0.4688,1,0.1110
674,12'h2A2,0.7188,1,0.1108
675,12'h2A3,0.2500,1,0.1109
676,12'h2A4,0.8438,1,0.1108
677,12'h2A5,0.3750,1,0.1109
678,12'h2A6,0.6250,1,0.1107
679,12'h2A7,0.0938,1,0.1108
680,12'h2A8,0.9375,1,0.1106
681,12'h2A9,0.4062,1,0.1107
682,12'h2AA,0.6875,1,0.1107
683,12'h2AB,0.1875,1,0.1108
684,12'h2AC,0.7812,1,0.1107
685,12'h2AD,0.2812,1,0.1107
686,12'h2AE,0.5312,1,0.1107
687,12'h2AF,0.0312,1,0.1106
688,12'h2B0,0.9375,1,0.1106
689,12'h2B1,0.4688,1,0.1107
690,12'h2B2,0.6875,1,0.1107
691,12'h2B3,0.1875,1,0.1107
692,12'h2B4,0.8438,1,0.1107
693,12'h2B5,0.3438,1,0.1107
694,12'h2B6,0.5625,1,0.1107
695,12'h2B7,0.0625,1,0.1106
696,12'h2B8,0.8750,1,0.1108
697,12'h2B9,0.3750,1,0.1107
698,12'h2BA,0.6250,1,0.1109
699,12'h2BB,0.1250,1,0.1108
