Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
307,12'h133,0.1875,1,0.1305
308,12'h134,0.8125,1,0.1306
309,12'h135,0.3125,1,0.1305
310,12'h136,0.5625,1,0.1307
311,12'h137,0.0625,1,0.1306
312,12'h138,0.8750,1,0.1305
313,12'h139,0.3750,1,0.1306
314,12'h13A,0.6250,1,0.1306
315,12'h13B,0.1250,1,0.1305
316,12'h13C,0.7500,1,0.1306
317,12'h13D,0.2500,1,0.1305
318,12'h13E,0.5000,1,0.1307
319,12'h13F,0.0000,0,0.1305
320,12'h140,0.9688,1,0.1306
321,12'h141,0.4688,1,0.1308
322,12'h142,0.7188,1,0.1306
323,12'h143,0.2188,1,0.1307
324,12'h144,0.8438,1,0.1305
325,12'h145,0.3438,1,0.1306
326,12'h146,0.5938,1,0.1305
327,12'h147,0.0938,1,0.1306
328,12'h148,0.9062,1,0.1305
329,12'h149,0.4062,1,0.1306
330,12'h14A,0.6562,1,0.1305
331,12'h14B,0.1562,1,0.1305
332,12'h14C,0.7812,1,0.1305
333,12'h14D,0.2812,1,0.1305
334,12'h14E,0.5312,1,0.1306
335,12'h14F,0.0312,1,0.1305
336,12'h150,0.9375,1,0.1304
337,12'h151,0.4375,1,0.1305
338,12'h152,0.6875,1,0.1305
339,12'h153,0.1875,1,0.1305
340,12'h154,0.8125,1,0.1305
341,12'h155,0.3125,1,0.1305
342,12'h156,0.5625,1,0.1306
343,12'h157,0.0625,1,0.1305
344,12'h158,0.8750,1,0.1305
345,12'h159,0.3750,1,0.1305
346,12'h15A,0.6250,1,0.1306
347,12'h15B,0.1250,1,0.1305
348,12'h15C,0.7500,1,0.1307
349,12'h15D,0.2500,1,0.1306
350,12'h15E,0.5000,1,0.1308
351,12'h15F,0.0000,0,0.1306
352,12'h160,0.9688,1,0.1305
353,12'h161,0.4688,1,0.1307
354,12'h162,0.7188,1,0.1306
355,12'h163,0.2188,1,0.1306
356,12'h164,0.8438,1,0.1305
357,12'h165,0.3438,1,0.1306
358,12'h166,0.5938,1,0.1305
359,12'h167,0.0938,1,0.1305
360,12'h168,0.9062,1,0.1305
361,12'h169,0.4062,1,0.1305
362,12'h16A,0.6562,1,0.1305
363,12'h16B,0.1562,1,0.1305
364,12'h16C,0.7812,1,0.1305
365,12'h16D,0.2812,1,0.1305
366,12'h16E,0.5312,1,0.1305
367,12'h16F,0.0312,1,0.1304
368,12'h170,0.9375,1,0.1304
369,12'h171,0.4375,1,0.1305
370,12'h172,0.6875,1,0.1305
371,12'h173,0.1875,1,0.1305
372,12'h174,0.8125,1,0.1305
373,12'h175,0.3125,1,0.1305
374,12'h176,0.5625,1,0.1305
375,12'h177,0.0625,1,0.1305
376,12'h178,0.8750,1,0.1306
377,12'h179,0.3750,1,0.1305
378,12'h17A,0.6250,1,0.1307
379,12'h17B,0.1250,1,0.1306
380,12'h17C,0.7500,1,0.1307
381,12'h17D,0.2500,1,0.1306
382,12'h17E,0.5000,1,0.1308
383,12'h17F,0.0000,0,0.1306
384,12'h180,0.9688,1,0.1302
385,12'h181,0.4688,1,0.1306
386,12'h182,0.7188,1,0.1305
387,12'h183,0.2188,1,0.1306
388,12'h184,0.8438,1,0.1305
389,12'h185,0.3438,1,0.1305
390,12'h186,0.5938,1,0.1305
391,12'h187,0.0938,1,0.1305
392,12'h188,0.9062,1,0.1304
393,12'h189,0.4062,1,0.1304
394,12'h18A,0.6562,1,0.1306
395,12'h18B,0.1562,1,0.1305
396,12'h18C,0.7812,1,0.1306
397,12'h18D,0.2812,1,0.1305
398,12'h18E,0.5312,1,0.1306
399,12'h18F,0.0312,1,0.1305
400,12'h190,0.9375,1,0.1306
401,12'h191,0.4375,1,0.1307
402,12'h192,0.6875,1,0.1305
403,12'h193,0.1875,1,0.1306
404,12'h194,0.8125,1,0.1305
405,12'h195,0.3125,1,0.1306
406,12'h196,0.5625,1,0.1304
407,12'h197,0.0625,1,0.1304
408,12'h198,0.8750,1,0.1305
409,12'h199,0.3750,1,0.1305
410,12'h19A,0.6250,1,0.1305
411,12'h19B,0.1250,1,0.1305
412,12'h19C,0.7500,1,0.1305
413,12'h19D,0.2500,1,0.1305
414,12'h19E,0.5000,1,0.1305
415,12'h19F,0.0000,0,0.1303
416,12'h1A0,0.9688,1,0.1303
417,12'h1A1,0.4688,1,0.1306
418,12'h1A2,0.7188,1,0.1305
419,12'h1A3,0.2188,1,0.1305
420,12'h1A4,0.8438,1,0.1305
421,12'h1A5,0.3438,1,0.1305
422,12'h1A6,0.5938,1,0.1305
423,12'h1A7,0.0938,1,0.1305
424,12'h1A8,0.9062,1,0.1304
425,12'h1A9,0.4062,1,0.1305
426,12'h1AA,0.6562,1,0.1306
427,12'h1AB,0.1562,1,0.1305
428,12'h1AC,0.7812,1,0.1306
429,12'h1AD,0.2812,1,0.1306
430,12'h1AE,0.5312,1,0.1307
431,12'h1AF,0.0312,1,0.1306
432,12'h1B0,0.9375,1,0.1306
433,12'h1B1,0.4375,1,0.1307
434,12'h1B2,0.6875,1,0.1305
435,12'h1B3,0.1875,1,0.1306
436,12'h1B4,0.8125,1,0.1305
437,12'h1B5,0.3125,1,0.1305
438,12'h1B6,0.5625,1,0.1305
439,12'h1B7,0.0625,1,0.1304
440,12'h1B8,0.8750,1,0.1305
441,12'h1B9,0.3750,1,0.1305
442,12'h1BA,0.6250,1,0.1305
443,12'h1BB,0.1250,1,0.1305
444,12'h1BC,0.7500,1,0.1305
445,12'h1BD,0.2500,1,0.1304
446,12'h1BE,0.5000,1,0.1306
447,12'h1BF,0.0000,0,0.1302
448,12'h1C0,0.9688,1,0.1301
449,12'h1C1,0.4688,1,0.1305
450,12'h1C2,0.7188,1,0.1305
451,12'h1C3,0.2188,1,0.1305
452,12'h1C4,0.8438,1,0.1305
453,12'h1C5,0.3438,1,0.1305
454,12'h1C6,0.5938,1,0.1306
455,12'h1C7,0.0938,1,0.1306
456,12'h1C8,0.9062,1,0.1305
457,12'h1C9,0.4062,1,0.1305
458,12'h1CA,0.6562,1,0.1305
459,12'h1CB,0.1562,1,0.1305
460,12'h1CC,0.7812,1,0.1305
461,12'h1CD,0.2812,1,0.1305
462,12'h1CE,0.5312,1,0.1306
463,12'h1CF,0.0312,1,0.1305
464,12'h1D0,0.9375,1,0.1305
465,12'h1D1,0.4375,1,0.1306
466,12'h1D2,0.6875,1,0.1305
467,12'h1D3,0.1875,1,0.1305
468,12'h1D4,0.8125,1,0.1305
469,12'h1D5,0.3125,1,0.1305
470,12'h1D6,0.5625,1,0.1305
471,12'h1D7,0.0625,1,0.1305
472,12'h1D8,0.8750,1,0.1306
